news_id,author,title,description,url,urlToImage,content
11,"Ed Cara","Nervous About Covid-19 Vaccines? Here's How Scientists Are Feeling","As the first covid-19 vaccines roll out across the U.S., some of us are chanting “inject me now!”, while others are anxious about potential side effects. I reached out to two dozen scientists and public health experts to see how they’re feeling about these va…",https://gizmodo.com/nervous-about-covid-19-vaccines-heres-how-scientists-a-1845881262,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/pisgujqsrxmkfdym5i12.jpg","As the first covid-19 vaccines roll out across the U.S., some of us are chanting inject me now!, while others are anxious about potential side effects. I reached out to two dozen scientists and publi… [+7629 chars]"
12,NULL,"Fauci says he's confident in the vaccine. Here's why","Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, said he feels fine after getting a Covid-19 vaccine and is very confident in the efficacy of the Moderna and Pfizer Covid-19 vaccines.",https://www.cnn.com/videos/health/2020/12/22/anthony-fauci-moderna-vaccine-sot-vpx-tsr.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201222181942-fauci-sot-super-tease.jpg,NULL
13,"Christina Maxouris, CNN","US sets Covid-19 case, hospitalization and death records ahead of key meeting for Moderna's vaccine","The US on Wednesday reported record numbers for Covid-19 cases, hospitalizations and deaths, ahead of a key meeting for what could be the country's second Covid-19 vaccine to get the green light.",https://www.cnn.com/2020/12/17/health/us-coronavirus-thursday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201217013300-us-coronavirus-1215-super-tease.jpg,"(CNN)The US on Wednesday reported record numbers for Covid-19 cases, hospitalizations and deaths, ahead of a key meeting for what could be the country's second Covid-19 vaccine to get the green light… [+7296 chars]"
14,NULL,"Why some communities may have trouble receiving Covid-19 vaccines","CNN's Omar Jimenez takes a closer look at "pharmacy deserts" and the impact they can have on communities trying to access the coronavirus vaccine.",https://www.cnn.com/videos/politics/2020/12/24/pharmacy-deserts-coronavirus-vaccine-jimenez-es-pkg-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201224064635-chicago-woman-coronavirus-vaccine-super-tease.jpg,NULL
15,NULL,"Watch CNN's Dr. Sanjay Gupta get the Covid-19 vaccine","CNN's Dr. Sanjay Gupta takes us behind the scenes with him as he gets the coronavirus vaccine at Grady Memorial Hospital in Atlanta, Georgia.",https://www.cnn.com/videos/health/2020/12/18/dr-sanjay-gupta-receives-coronavirus-vaccine-newday-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201218121600-video-thumbnail-gupta-vaccination-super-tease.jpg,NULL
16,NULL,"Biden says Trump should get some credit","President-elect Joe Biden received his first course of the Pfizer-BioNTech Covid-19 vaccine and said he did so to be a demonstration and in hopes "people will be prepared to get the vaccine."",https://www.cnn.com/videos/health/2020/12/21/joe-biden-receive-coronavirus-vaccine-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201221152052-01-biden-vaccine-screengrab-super-tease.jpg,NULL
17,"Christina Maxouris, CNN","As the US prepares to green light a second Covid-19 vaccine, officials issue warning for the holidays","More Americans received their first dose of the Pfizer and BioNTech Covid-19 vaccine Tuesday, and the country now gears up for a possible second vaccine authorization in the next few days.",https://www.cnn.com/2020/12/16/health/us-coronavirus-wednesday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201216003333-new-york-holiday-market-1212-restricted-super-tease.jpg,"(CNN)More Americans received their first dose of the Pfizer and BioNTech Covid-19 vaccine Tuesday, and the country now gears up for a possible second vaccine authorization in the next few days. 
In … [+6381 chars]"
18,NULL,"Late-night hosts react to Covid-19 vaccine distribution","Late-night hosts Trevor Noah, Jimmy Fallon, Stephen Colbert, and James Corden poke fun at the first distribution of coronavirus vaccines in the US.",https://www.cnn.com/videos/media/2020/12/15/covid-us-vaccine-fallon-colbert-noah-corden-late-night-orig.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201215025418-trevor-noah-covid-vaccination-super-tease.jpg,
19,"Jonathan Wolfe","Coronavirus Briefing: What Happened Today","President Emmanuel Macron of France has become the latest world leader to contract Covid-19.",https://www.nytimes.com/2020/12/17/us/coronavirus-today.html,https://static01.nyt.com/images/2020/12/17/multimedia/17coronavirus-nl-image/17coronavirus-nl-image-facebookJumbo.png,"For politicians, getting the shot may be a double-edged sword. Doing so in front of the cameras could boost public confidence in the vaccine or lead to accusations that theyre cutting in line.
The U… [+1191 chars]"
20,"Sheryl Gay Stolberg","Trump Claims Credit for Vaccines. Some of His Backers Don’t Want to Take Them.","A deep distrust of the government is fueling vaccine hesitancy among Republicans, who are more likely than Democrats to resist being inoculated against Covid-19.",https://www.nytimes.com/2020/12/18/us/politics/trump-vaccine-skeptics.html,https://static01.nyt.com/images/2020/12/18/us/politics/18dc-virus-gop-vaccine-1/merlin_181350561_528d87bc-dfb1-4530-bc2d-7ae59dbc8c28-facebookJumbo.jpg,"But Mr. Trump was notably absent. One reason for the partisan divide over vaccination, experts said, is the president himself. His repeated denigration of scientists and insistence that the pandemic … [+1798 chars]"
21,"Amy Harmon","After the Vaccine: Sore Arm, Yes. Headache, Maybe. Regrets, No.","Here is what some of the first Americans to be vaccinated against Covid-19 are saying about how they felt afterward, with some side effects but no second thoughts.",https://www.nytimes.com/2020/12/28/us/vaccine-first-patients-covid.html,https://static01.nyt.com/images/2020/12/25/us/00vaccine-whatitslike/00vaccine-whatitslike-facebookJumbo.jpg,"The Pfizer-BioNTech and Moderna vaccines both rely on a genetic technology that has never before yielded a vaccine that won regulatory approval. They are authorized for emergency use only. Studies of… [+1919 chars]"
22,"The New York Times","Britain Approves Homegrown Vaccine from AstraZeneca and Oxford","China said one of its candidates was effective. A congressman-elect from Louisiana has died of Covid-19 complications. Long-term symptoms are sending patients back to the hospital. Here’s the latest on the pandemic.",https://www.nytimes.com/live/2020/12/30/world/covid-19-coronavirus-updates,https://static01.nyt.com/images/2021/01/29/world/29virus-briefing-britain-vaccine-sub/29virus-briefing-britain-vaccine-sub-facebookJumbo.jpg,"LiveUpdated Dec. 30, 2020, 5:30 a.m. ET
Dec. 30, 2020, 5:30 a.m. ET
China said one of its candidates was effective. A congressman-elect from Louisiana has died of Covid-19 complications. Long-term … [+21360 chars]"
23,NULL,"How the vaccine gets from the lab to your arm","This is the long road Covid-19 vaccines take to get to you. All the while, staying ultra cold.",https://www.cnn.com/videos/business/2020/12/17/covid-vaccine-transportation-orig.cnn-business,https://cdn.cnn.com/cnnnext/dam/assets/201217180318-covid-vaccine-04-super-tease.jpg,NULL
24,https://www.facebook.com/bbcnews,"Will pregnant women receive the Covid-19 vaccine? It depends","Without pregnant women in trials for the jab, countries are taking different approaches.",https://www.bbc.co.uk/news/world-us-canada-55340244,https://ichef.bbci.co.uk/news/1024/branded_news/2320/production/_114829980_gettyimages-1187579522.jpg,"By Holly HonderichBBC News, Washington
image copyrightGetty Images
As the long-awaited coronavirus vaccine begins to roll out, it's already clear that not everyone will have access. For pregnant an… [+6617 chars]"
25,https://www.facebook.com/bbcnews,"Covid-19: Irish government authorises Pfizer-BioNTech vaccine","The country returns to stricter coronavirus restrictions on Christmas Eve until at least 12 January.",https://www.bbc.co.uk/news/world-europe-55440223,https://ichef.bbci.co.uk/news/1024/branded_news/2A16/production/_115547701_gettyimages-1229654243.jpg,"image copyrightGetty Images
image captionThe UK became the first country to authorise the Pfizer-BioNTech Covid-19 vaccine in the world
The Irish government has authorised the use of the Pfizer-Bio… [+4106 chars]"
26,"Brianna Provenzano","Apple Wallet Receipt Could Serve As First Proof Of An Individual's Vaccination Status","Welcome to our dystopian hellscape, where you might soon have to flash your Apple Wallet when trying to enter an airport in order to prove that you’ve been given the covid-19 vaccine. Read more...",https://gizmodo.com/apple-wallet-receipt-could-serve-as-first-proof-of-an-i-1845959606,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/md53jhgytncuhpghgdha.jpg","Welcome to our dystopian hellscape, where you might soon have to flash your Apple Wallet when trying to enter an airport in order to prove that youve been given the covid-19 vaccine. 
According to a… [+2352 chars]"
27,"Virginia Langmaid and Annie Grayer, CNN","Most Americans will likely get a Covid-19 vaccine, Kaiser Family Foundation survey finds","Most Americans say they'll get a coronavirus vaccine, a new survey finds.",https://www.cnn.com/2020/12/15/health/survey-covid-vaccine-kaiser-monitor/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201214113957-11-pfizer-coronavirus-vaccine-1214-new-york-super-tease.jpg,NULL
28,"Rebecca Sohn","3 surprising drugs being repurposed to fight COVID-19","It’s been a year since the first case of COVID-19 was identified in Wuhan, China, and in that time, we’ve gone from not even having a name for the disease to developing treatments and approving two vaccines for emergency use. Despite how far we’ve come, scien…",https://mashable.com/article/covid-19-treatments-research/,https://mondrian.mashable.com/2021%252F01%252F02%252F32%252F38e919b56e264f128be53457c32546bf.3efd5.jpg%252F1200x630.jpg?signature=1WINRZIagtllz1LuavRVx40dAeE=,"Its been a year since the first case of COVID-19 was identified in Wuhan, China, and in that time, weve gone from not even having a name for the disease to developing treatments and approving two vac… [+9686 chars]"
29,NULL,"Kamala Harris gets her first dose of the Covid-19 vaccine","Vice President-elect Kamala Harris receives her first dose of the Moderna coronavirus vaccine.",https://www.cnn.com/videos/politics/2020/12/29/kamala-harris-first-dose-coronavirus-vaccine-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201229110401-04-kamala-harris-covid-vaccine-1229-super-tease.jpg,NULL
