tweet_id,username,created_at,tweet,retweet_count,place,location
35,MargLloyd,"2021-01-06 13:43:45","UK Parliament: 2nd Covid Vaccine should be 21 /28 Days NOT 12 Weeks. Challenge the U​.​K. Government! - Sign the Pe… https://t.co/kUUBjtRcfr",0,NULL,"North Shropshire"
36,alpharettagov,"2021-01-06 13:43:45","RT @FultonHealth: COVID-19 vaccine appointments are open for Phase 1A Medical Practitioners &amp; Staff ONLY. Appointments &amp; proof of eligibili…",0,NULL,"Alpharetta, Georgia"
37,gamerwirheart,"2021-01-06 13:43:45","RT @JordanSchachtel: The task force resulted in the destruction of the Trump presidency. Lots of blame to go around, but the fact that peop…",0,NULL,NULL
38,carlbalais,"2021-01-06 13:43:46","RT @ifyouseekkae: What are they distracting us from:

1) vaccine smuggling
2) POGO workers getting vaccine ahead of our healthcare workers…",0,NULL,NULL
39,kj_mpoa,"2021-01-06 13:43:46","RT @citizentvkenya: Kenya to procure 24 million doses of COVID-19 vaccine by February https://t.co/rYzHTypTf2",0,NULL,Kenya
40,kensteady79,"2021-01-06 13:43:46","RT @JackNationalist: Elderly man dies in Israel after receiving Pfizer COVID vaccine https://t.co/wMLRfCyOeB",0,NULL,NULL
41,McChris85,"2021-01-06 13:43:46","The formerly London-based EMA approves the use of the Moderna vaccine in EU member states.

Does this mean we'll no… https://t.co/Mne5iZte3I",0,NULL,"The Medway Marches"
42,RonnieMotes8,"2021-01-06 13:43:46","RT @TiffanyDCross: .@GovRicketts (R) on plans to deliver vaccines to meatpacking plants &amp; if undocumented workers would be included. “You’r…",0,NULL,NULL
43,davescoular,"2021-01-06 13:43:46","There was no vaccination when you ,Trump and other so called leaders got covid yet you all got over it. Why should… https://t.co/h4URiRJ1j4",0,NULL,EARTH
44,JangidDilkhush,"2021-01-06 13:43:46","RT @AadeshRawal: Zee reporter who takes Covaxin on Tuesday , complains of fever &amp; stiffness in hands. 

https://t.co/3Ov4vOFTNI",0,NULL,"Bhilwara, India"
45,JMbiohacker,"2021-01-06 13:43:46","RT @ksorbs: Abortion supporters: You can’t force me to do anything! My body my choice

Also abortion supporters: people should be forced to…",0,NULL,NULL
46,kahithit,"2021-01-06 13:43:47","Tribalism is sinking too low. When other developed countries are dealing with big issues like climate change. Findi… https://t.co/ZZLfTwfmCM",0,NULL,NULL
47,Olaricbizhub,"2021-01-06 13:43:48","Shehu Sani Raises Alarm As Buhari’s Govt Orders COVID-19 Vaccine From China, Russia, US https://t.co/iEOeOySIwN",0,NULL,Nigeria
48,CarrieCdn,"2021-01-06 13:43:48","RT @AOC: Imagine being so racist that you go out of your way to ensure that the people who prepare *your* food are unvaccinated.",0,NULL,NULL
49,NaijaNews,"2021-01-06 13:43:49","Shehu Sani Raises Alarm As Buhari’s Govt Orders COVID-19 Vaccine From China, Russia, US https://t.co/FXf5lLwKon",0,NULL,"Lagos, Nigeria"
50,pratigyaesther,"2021-01-06 13:43:49","RT @SaketGokhale: Exclusive:

Mystery of Bharat Biotech's Phase 1&amp;2 Covid-19 vaccine trials:

Bharat Biotech registered its Phase 1&amp;2 trial…",0,NULL,India
51,makilingmiracle,"2021-01-06 13:43:50","RT @jeffcanoy: Quezon City Mayor Joy Belmonte confirms deal for 750,000 AstraZeneca vaccine doses through a tripartite agreement w/ pharmac…",0,NULL,Philippines
52,NestorBAguilar2,"2021-01-06 13:43:50","RT @paulj388: People that are seriously thinking of taking the covid vaccine should be entered for the Darwin Awards. @DrMadej https://t.co…",0,NULL,"Republic of the Philippines"
53,shubhada1234,"2021-01-06 13:43:50","RT @BnBagul: "Nobody Said It's A Trial": A New Covid Vaccine Controversy In Bhopal. What’s going on @SC in New India? Are these people have…",0,NULL,india
54,fakepelican,"2021-01-06 13:43:50","if you took swimming lessons at ymca don't worry about what's in the covid vaccine",0,NULL,NULL
55,PagetsDisease,"2021-01-06 13:43:53","As the #COVID19 vaccine is rolled in the UK, we wanted to answer your questions on the vaccine, Covid-19 and how it… https://t.co/mezH1HBvhG",0,NULL,"Manchester, Charity no 266071"
56,jxssicah,"2021-01-06 13:43:53","Imagine wanting to prioritise athletes whilst there are thousands of NHS workers still waiting for the vaccine",0,NULL,NULL
57,EkKantapMarege,"2021-01-06 13:43:54","RT @doorva207: Peacefools Back Then : 
Polio vaccine causes impotency

Now: Covid vaccine causes impotency.

Why is it about reproduction e…",0,NULL,NULL
58,Abdulla88053880,"2021-01-06 13:43:54","RT @ExpPharma: Germany says does not intend to delay second COVID-19 vaccine shot - https://t.co/6q9iM6U3kA
https://t.co/6q9iM6U3kA",0,NULL,"Ankleshwar, India"
59,JohnKiehneForMo,"2021-01-06 13:43:55","RT @SarahUnsicker: With 6.2 million people in the state, about 1.6% have been vaccinated. At this rate, it will take about a year to achiev…",0,NULL,"Labadie, Mo"
60,Diablo5168,"2021-01-06 13:43:55","RT @2tweetaboutit: SNP’s Blackford calls for independence backfire as Boris insists 'no vaccine without UK' https://t.co/hNWZ7WQBY1",0,NULL,NULL
61,terryelaineh1,"2021-01-06 13:43:55","RT @Independent: WHO warns against UK strategy of delaying second Covid vaccine dose https://t.co/yXcAX4u0Uq",0,NULL,NULL
62,andyjack01,"2021-01-06 13:43:55","RT @doctor_oxford: GPs up and down the country are desperate to start vaccinating their patients - yet cannot, because *even while* @BorisJ…",0,NULL,"Milton Keynes, England"
63,Vleeties,"2021-01-06 13:43:56","RT @LPTexas: We can’t think of a worse way to distribute the COVID vaccine than to have the government be in charge of it. 

It should have…",0,NULL,"Dallas, TX"
64,JodyleeRitter,"2021-01-06 13:43:57","RT @FirenzeMike: The Ron #DeathSantis vaccine distribution plan is to have 1,000 senior citizens park overnight at a football stadium and n…",0,NULL,NULL
65,rosewater57,"2021-01-06 13:43:57","@ShehuSani The vaccine should be used on Buhari 1st. We don't want our dear president to die of covid 19. Then the… https://t.co/dzdQSBEz0p",0,NULL,NULL
66,mikeopseu,"2021-01-06 13:43:57","RT @fernhilldammit: Why are we not in the streets? Roll-out of Covid vaccine is criminally negligent. We have money, we have vaccines. Jeez…",0,NULL,Everywhere
67,XLlFS,"2021-01-06 13:43:57","RT @guardian: Johnson: no Covid vaccine in Scotland if SNP had its way https://t.co/raFzBpWDvm",0,NULL,NULL
68,Raffern,"2021-01-06 13:43:57","RT @dr_alex_gates: We are NOT in the ‘final sprint’. Nowhere near. Stop misleading people and giving a false sense of security!
when you do…",0,NULL,"Here UK"
69,callmechi_chi,"2021-01-06 13:43:57","Covid vaccine? https://t.co/FvWH3Km2RT",0,NULL,NULL
70,FBM2005,"2021-01-06 13:43:57","GOP white supremacist death cult.",0,NULL,"Five Before Midnight"
71,Briantist,"2021-01-06 13:43:58","@ActuaryByDay @ONS Looking at the table from .covid-arg.com and assuming 49,713 injections increases by 3,685 a day… https://t.co/U5T2XjIGKU",0,NULL,"London, UK"
72,Momzartt,"2021-01-06 13:43:58","@realDonaldTrump You LOST, you're DONE! Now, where my CoVid Vaccine? That's what you need to be working on, my God you're useless!!",0,NULL,NULL
73,mallagher,"2021-01-06 13:43:58","Covid-19 Bulletin – EU approves Moderna Vaccine https://t.co/llgn0xcHyw",0,NULL,"Tartu, Estonia"
74,Tesscrash,"2021-01-06 13:43:58","RT @DavidPepper: Bible reading for @marcorubio -

Ezekiel 34:3-4

“You eat the fat, you clothe yourselves with the wool, you slaughter the…",0,NULL,WNY
75,Sue11858002,"2021-01-06 13:43:59","RT @AOC: Imagine being so racist that you go out of your way to ensure that the people who prepare *your* food are unvaccinated. https://t.…",0,NULL,NULL
76,shiaratot,"2021-01-06 13:43:59","RT @ifyouseekkae: What are they distracting us from:

1) vaccine smuggling
2) POGO workers getting vaccine ahead of our healthcare workers…",0,NULL,"behind grays "
77,Michaeldigolo,"2021-01-06 13:43:59","RT @HighWireTalk: “Over 1,000 people injected with a new COVID-19 vaccine have experienced an adverse event, with hundreds being taken to e…",0,NULL,"Nairobi, Nairobi"
78,BertaBusquets,"2021-01-06 13:44:00","RT @AOC: Imagine being so racist that you go out of your way to ensure that the people who prepare *your* food are unvaccinated.",0,NULL,"Barcelona, Spain"
79,divadarlings1,"2021-01-06 13:44:00","RT @irenegarth1946: Liam Fox HoC: "As practicing doctor volunteered to administer vaccine. Why was I asked to complete courses on Conflict…",0,NULL,NULL
80,MetalMummy37,"2021-01-06 13:44:01","RT @dr_alex_gates: We are NOT in the ‘final sprint’. Nowhere near. Stop misleading people and giving a false sense of security!
when you do…",0,NULL,NULL
81,fartelengelbert,"2021-01-06 13:44:01","After we get eliminate Covid, we need to eliminate the virus of wokeness that has entered our institutions. I wonde… https://t.co/lZ3anHlaLU",0,NULL,"La France pas très profonde"
82,docrussjackson,"2021-01-06 13:44:01","So @Keir_Starmer has called for emergency legislation to prosecute anti-vaxxers".

Removing dangerously misleading… https://t.co/LKgNmPXOma",0,NULL,Sheffield
83,theavel_,"2021-01-06 13:44:01","RT @ifyouseekkae: What are they distracting us from:

1) vaccine smuggling
2) POGO workers getting vaccine ahead of our healthcare workers…",0,NULL,south
84,shirleyjones999,"2021-01-06 13:44:03","RT @JennaJJameson1: 2 Alaskan Health Workers Got Emergency Treatment After Receiving Pfizer’s Vaccine One of the workers did not have a his…",0,NULL,NULL
85,MattSpillane,"2021-01-06 13:44:03","RT @DRobinsonLoHud: Counties in NY opening COVID-19 vaccine sites to speed rollout. What you need to know https://t.co/f8a8SXrb8v via @lohud",0,NULL,"Westchester County, NY"
86,GeneHaley17,"2021-01-06 13:44:03","RT @JordanSchachtel: The task force resulted in the destruction of the Trump presidency. Lots of blame to go around, but the fact that peop…",0,NULL,NULL
87,HowardCC,"2021-01-06 13:44:04","RT @HoCoGov: #HoCoMD, we appreciate ur patience as @HoCoHealth begins administering #COVID19 vaccine. To date, HCHD has received 4,500 vacc…",0,NULL,"Columbia, MD"
88,theresacassara,"2021-01-06 13:44:04","RT @stuartpstevens: The Republican party turning public health into politics has killed millions.",0,NULL,"Corsicana, TX"
89,JoanneMcMahon5,"2021-01-06 13:44:05","RT @markdreyfusQCMP: This Prime Minister will say anything to cover up his incompetence  – even if it means undermining public confidence i…",0,NULL,NULL
90,LauraLAbythesea,"2021-01-06 13:44:05","RT @anaceballos_: MorseLife in West Palm Beach provided coronavirus vaccine to donors and country club members. 

The invitations alarmed l…",0,NULL,"United States"
91,MyrnaMinkoff4,"2021-01-06 13:44:05","RT @JordanSchachtel: The task force resulted in the destruction of the Trump presidency. Lots of blame to go around, but the fact that peop…",0,NULL,NULL
92,TampaVA,"2021-01-06 13:44:06","RT @SecWilkie: .@DeptVetAffairs administered initial COVID-19 vaccine doses to more than 14,000 Veterans at high risk of getting COVID-19 i…",0,NULL,"13000 Bruce B. Downs Tampa FL"
93,Joy_Ehizuenlen,"2021-01-06 13:44:06","RT @Kingwole: I need this COVID-19 vaccine. https://t.co/ITRGvkCDMO",0,NULL,NULL
94,VitthaldasMurk1,"2021-01-06 13:44:06","RT @RajatSharmaLive: India will begin a historic Covid vaccine rollout

https://t.co/TafFyDHog8",0,NULL,NULL
95,BernieRosenblo1,"2021-01-06 13:44:06","Laos Stats: What If? | WHO: Is Covid Vaccine The Travel Panacea? | We Are Lao Downloads Hit 50… https://t.co/8dgh09L9tE",0,NULL,NULL
96,PhilB6vis,"2021-01-06 13:44:06","RT @WhyNotChange: The scientists have an approach to contain the virus. Unsurprisingly it includes financial support for everyone to ensure…",0,NULL,"central mainland"
97,FiggFrankie,"2021-01-06 13:44:07","RT @tomselliott: @karol @NYGovCuomo @Twitter BTW, the tweet below is what I was RTing. Whatever you do, don’t let Twitter know you think Go…",0,NULL,Oklahoma
98,AbdulRazaq_PH,"2021-01-06 13:44:07","COVID-19: Almost 3.5 million UK vaccine doses held up by regulator.

Batch testing has to be carried out by MHRA… https://t.co/ttMPzQekh9",0,NULL,"England, United Kingdom"
99,Inforder,"2021-01-06 13:44:08","If hospitals are reservoirs of infection which they are, and staff are more exposed to said infections which they a… https://t.co/HgtjYVZpo6",0,NULL,NULL
100,Hammer4USA,"2021-01-06 13:44:08","RT @RacieSicilian: .

Even with a negative test, a mask, and a vaccine don't think you can go and touch your grandmother's hand while she s…",0,NULL,NULL
101,milwaukeeva,"2021-01-06 13:44:09","RT @SecWilkie: .@DeptVetAffairs administered initial COVID-19 vaccine doses to more than 14,000 Veterans at high risk of getting COVID-19 i…",0,NULL,"milwaukee, wi"
102,farzanadoctor,"2021-01-06 13:44:09","RT @farrahsafiakhan: People that are criminalized are often the most marginalized Canadians living in congregate settings. Yes, they should…",0,NULL,Tkaronto
103,LorettaBower3,"2021-01-06 13:44:09","RT @picardonhealth: Pfizer vaccine 95% efficacy; Moderna vaccine 94.1% efficacy.  AstraZeneca vaccine (not yet approved in Canada) has 62-9…",0,NULL,"Lake Havasu City, Az. 86406"
104,seansparkthomas,"2021-01-06 13:44:10","RT @ArjunAcd1: @seansparkthomas
@natashadoff
Indian government is ready to roll out vaccine for COVID-19 within 10 days of emergency nod. T…",0,NULL,"Moscow, Russia"
105,rwschaeferiii,"2021-01-06 13:44:10","RT @DavidPepper: Bible reading for @marcorubio -

Ezekiel 34:3-4

“You eat the fat, you clothe yourselves with the wool, you slaughter the…",0,NULL,"Connecticut, USA"
106,jitin84,"2021-01-06 13:44:11","RT @Amul_Coop: #Amul Topical: CoVid -19 vaccine roll out next week! https://t.co/2Obm6JQTU4",0,NULL,Bangalore
107,ashm1801,"2021-01-06 13:44:12","RT @4EvaEUropean: Today my Jamaican British European neighbour, Royston, had his Covid vaccine.

Thank you to EU for making this possible #…",0,NULL,"Brussel, België"
108,asxnc,"2021-01-06 13:44:12","RT @aileenwthenews: Publix locations will administer COVID-19 vaccine at some Florida stores https://t.co/ZUFH5Y8zPF",0,NULL,"Miami, FL"
109,D_Lubofsky,"2021-01-06 13:44:14","RT @quintabrunson: malls are open.",0,NULL,"New York, NY"
110,cliffsiders,"2021-01-06 13:44:14","RT @JaniceDean: Wake. Up. New. York. @NYGovCuomo does not care about you, your parents or your grandparents.",0,NULL,NULL
111,Ktkeepitreal,"2021-01-06 13:44:14","RT @Sack_SAGE: Reminder of who is really running the country. Clue: it's not your elected government...",0,NULL,"United Kingdom England"
112,krishworlds,"2021-01-06 13:44:14","RT @guardian: Johnson: no Covid vaccine in Scotland if SNP had its way https://t.co/raFzBpWDvm",0,NULL,NULL
113,pam_remon,"2021-01-06 13:44:15","UK Parliament: 2nd Covid Vaccine should be 21 /28 Days NOT 12 Weeks. Challenge the U​.​K. Government! - Sign the Pe… https://t.co/67bytBjQyN",0,NULL,NULL
114,whitecollarex,"2021-01-06 13:44:15","RT @erinarvedlund: The COVID-19 vaccine rollout is a mess. Blame the U.S. health-care system. | Analysis https://t.co/dvdGHJnLuE via @phill…",0,NULL,"Greenwich CT & Nationwide"
115,akhtar978,"2021-01-06 13:44:15","RT @SaketGokhale: Exclusive:

Mystery of Bharat Biotech's Phase 1&amp;2 Covid-19 vaccine trials:

Bharat Biotech registered its Phase 1&amp;2 trial…",0,NULL,"Somewhere on the map"
116,OmoobaSolo,"2021-01-06 13:44:16","@GhenhisKhan It can take weeks for d body to build up immunity after getting vaccinated. That means it’s possible a… https://t.co/k8saesUYW4",0,NULL,NULL
117,I_am_MangoMan,"2021-01-06 13:44:17","RT @pbhushan1: All aspiring for Covid Vaccines must read this thread to understand the absolutely shocking criminal negligence &amp; connivance…",0,NULL,"❤ Me India"
118,Saracns74,"2021-01-06 13:44:17","RT @helloladymudan: @Mareq16 https://t.co/jRTi8KATP5 what a criminal , saudi get vaccinated and london and queen elizabet state arizona too…",0,NULL,"Roma, Lazio"
119,DanHawk24,"2021-01-06 13:44:18","RT @FayvanDunk: Now people are reportedly dying from having the Pfizer vaccine the UK government wants to make it mandatory, the next step…",0,NULL,"Former Great Britain"
120,ExBulletinUk,"2021-01-06 13:44:18","Despite the vaccine rollout, Covid may still need to be restricted next winter-Chris Whitty said https://t.co/ecdjyRfIOy",0,NULL,UK
121,carolru36982393,"2021-01-06 13:44:18","RT @JaniceDean: Wake. Up. New. York. @NYGovCuomo does not care about you, your parents or your grandparents.",0,NULL,NULL
122,FlaniganDouglas,"2021-01-06 13:44:18","RT @Montalvo501: @Timodc agnotology, a culturally-induced ignorance to embrace and promote inaccurate or misleading information, say it eno…",0,NULL,NULL
123,Pralston6,"2021-01-06 13:44:19","RT @Jenfitzlaw: @BorowskiCyndi @JennaEllisEsq They also have the audacity to suggest that they will immediately establish an orderly proced…",0,NULL,NULL
124,TMScarletFire,"2021-01-06 13:44:19","RT @AOC: Imagine being so racist that you go out of your way to ensure that the people who prepare *your* food are unvaccinated.",0,NULL,"Massachusetts, USA"
125,Roseequaarrttzz,"2021-01-06 13:44:19","I wonder if the covid vaccine going to be a required document for travelers across borders .. ?",0,NULL,NULL
126,veritocvr,"2021-01-06 13:44:19","RT @Censelio: Misinformation 'superspreaders': Covid vaccine falsehoods still thriving on Facebook and Instagram

Researchers say big Faceb…",0,NULL,"Coquimbo, Chile"
127,Peterboi1231,"2021-01-06 13:44:20","RT @HotspurRelated: #thfc have offered the use of their stadium to the NHS as a venue for administering the COVID-19 vaccine. [Sky Sports]",0,NULL,NULL
128,crystalmartin91,"2021-01-06 13:44:20","Look forward to getting my vaccine when it becomes available! Thank you @DKimmaliardjuk  for being a great example… https://t.co/8t2bZXzoXh",0,NULL,"Eganville Ontario"
129,MedSocietyVA,"2021-01-06 13:44:20","PHYSICIANS AND PAs: The MSV has been working diligently with relevant partners and stakeholders to learn any pertin… https://t.co/dSi0EowHxq",0,NULL,Virginia
130,CarmelDobson,"2021-01-06 13:44:20","RT @therecount: Gov. Ricketts (R-NE) says undocumented workers at meatpacking plants will not be eligible to receive the COVID vaccine.

Th…",0,NULL,"York, England"
131,Haudnaquarter,"2021-01-06 13:44:21","RT @ananavarro: Young, healthy Senator, who spoke at rallies packed w/thousands w/o masks, who supports Trump -who’s down-played COVID &amp; mo…",0,NULL,"Shawnee, KS"
132,ForLoveofaBoy,"2021-01-06 13:44:21","RT @lifebiomedguru: Not suprised. Predicted. Unacceptable.",0,NULL,"Freehold, NJ"
133,COPD_research,"2021-01-06 13:44:21","RT @w0lvesno2: you dont want this #COVID19  virus it dont half knock you about! @BorisJohnson said #covid vaccine for most vulnerable well…",0,NULL,NULL
134,anisaz9_basit,"2021-01-06 13:44:21","RT @anisaz9_basit: In ideal rememberance of a 'Bhaktini' #GodiMedia journalist who tried her level best to allure us all with 'Nano chip' i…",0,NULL,"Mumbai, Maharashtra"
135,keeperoftruth10,"2021-01-06 13:44:21","@jpvarsky
@intrusos
Indian pharma company bringing a COVID-19 vaccine to the commercial market will transform the i… https://t.co/a8saoUVGnF",0,NULL,NULL
136,ZoeMarieKillick,"2021-01-06 13:44:22","Let’s get these vaccines rolled out!! More clubs should do this!! @premierleague you want fans in, get it done!!… https://t.co/rsykWTG9Nv",0,NULL,Worthing
137,DevarshiJoshi17,"2021-01-06 13:44:22","#DCGI approves restricted emergency use of COVID-19 Vaccine. Here's everything you need to know! #IndiaFightsCorona

via NaMo App",0,NULL,BARDOLI..SURAT...GUJARAT...IND
138,jemiieee,"2021-01-06 13:44:22","RT @ifyouseekkae: What are they distracting us from:

1) vaccine smuggling
2) POGO workers getting vaccine ahead of our healthcare workers…",0,NULL,"MNL, PH"
139,HiteshK72713699,"2021-01-06 13:44:22","RT @BillGates: It’s great to see India’s leadership in scientific innovation and vaccine manufacturing capability as the world works to end…",0,NULL,"Borka. Kamalpur. kamrup. Assam"
140,rita1b,"2021-01-06 13:44:22","RT @KevinJBarron: If I can have my flu jab in a community pharmacy why not my vaccine?",0,NULL,"Peterborough, England"
141,AW82413345,"2021-01-06 13:44:23","https://t.co/YEagzmiIeq - WHO warns against UK strategy of delaying second Covid vaccine dose - https://t.co/2nJYfZOOaS",0,NULL,NULL
142,GregFingas,"2021-01-06 13:44:23","RT @DennisKendel: Why Canada's vaccine rollout is slower than other countries' — and what can be done to fix it | CBC News https://t.co/BxY…",0,NULL,NULL
143,bismitalucky,"2021-01-06 13:44:23","RT @BillGates: It’s great to see India’s leadership in scientific innovation and vaccine manufacturing capability as the world works to end…",0,NULL," India"
144,CarolNBC4,"2021-01-06 13:44:23","RT @latimes: No healthcare credentials, no problem: L.A. officials let dozens get COVID-19 vaccine early https://t.co/u3kcYu7VTU",0,NULL,"Palestine ➡️ LA/Glendale"
145,MacyMae1908,"2021-01-06 13:44:23","RT @TiffanyDCross: .@GovRicketts (R) on plans to deliver vaccines to meatpacking plants &amp; if undocumented workers would be included. “You’r…",0,NULL,"United States"
146,Momzartt,"2021-01-06 13:44:24","@realDonaldTrump Where's my CoVid Vaccine?!",0,NULL,NULL
147,botfish,"2021-01-06 13:44:24","As a resident of Georgia I really cannot put into words the relief I feel today. All because of the amazing Stacey… https://t.co/52Sns3Mwot",0,NULL,NULL
148,dyemairi,"2021-01-06 13:44:24","RT @ifyouseekkae: What are they distracting us from:

1) vaccine smuggling
2) POGO workers getting vaccine ahead of our healthcare workers…",0,NULL,NULL
149,VaughnWinchell,"2021-01-06 13:44:25","In 2 years @marcorubio should have a helluva time trying to persuade voters that he actually believes in anything a… https://t.co/HDxAWgSHka",0,NULL,NULL
150,jemloire,"2021-01-06 13:44:25","RT @doctor_oxford: GPs up and down the country are desperate to start vaccinating their patients - yet cannot, because *even while* @BorisJ…",0,NULL,NULL
151,jaywer430,"2021-01-06 13:44:25","@BeckyQuick I am not sure if i am more clear or more confused with the Covid vaccine..",0,NULL,"New Jersey, USA"
